name,tvt
05_01_00172,valid
05_01_00173,valid
05_01_00174,valid
05_01_00175,test
05_01_00176,valid
05_01_00177,valid
05_01_00178,valid
05_01_00179,valid
05_01_00180,valid
05_01_00181,valid
05_01_00182,valid
05_01_00183,valid
05_01_00184,valid
05_01_00185,valid
05_01_00186,valid
05_01_00187,valid
05_01_00188,valid
05_01_00189,valid
05_01_00190,valid
05_01_00191,valid
05_01_00192,valid
05_01_00193,valid
05_01_00194,valid
05_01_00195,valid
05_01_00196,valid
05_01_00197,valid
05_01_00198,valid
05_01_00199,valid
05_01_00200,valid
05_01_00201,valid
05_01_00202,valid
05_01_00203,valid
05_01_00204,train
05_01_00205,train
05_01_00206,train
05_01_00207,train
05_01_00208,train
05_01_00209,train
05_01_00210,train
05_01_00211,train
05_01_00212,train
05_01_00213,train
05_01_00214,train
05_01_00215,train
05_01_00216,train
05_01_00217,train
05_01_00218,train
05_01_00219,train
05_01_00220,train
05_01_00221,train
05_01_00222,train
05_01_00223,train
05_01_00224,train
05_01_00225,train
05_01_00226,train
05_01_00227,train
05_01_00228,train
05_01_00229,train
05_01_00230,train
05_01_00231,train
05_01_00232,train
05_01_00233,train
05_01_00234,train
05_01_00235,train
05_01_00236,train
05_01_00237,train
05_01_00238,train
05_01_00239,train
05_01_00240,train
05_01_00241,train
05_01_00242,train
05_01_00243,train
05_01_00244,train
05_01_00245,train
05_01_00246,train
05_01_00247,train
05_01_00248,train
05_01_00249,train
05_01_00250,train
05_01_00251,train
05_01_00252,train
05_01_00253,train
05_01_00254,train
05_01_00255,train
05_01_00256,train
05_01_00257,train
05_01_00258,train
05_01_00259,train
05_01_00260,test
05_01_00261,train
05_01_00262,train
05_01_00263,train
05_01_00264,train
05_01_00265,train
05_01_00266,train
05_01_00267,test
05_01_00268,train
05_01_00269,train
05_01_00270,train
05_01_00271,train
05_01_00272,train
05_01_00273,train
05_01_00274,test
05_01_00275,train
05_01_00276,train
05_01_00277,train
05_01_00278,test
05_01_00279,train
05_01_00280,train
05_01_00281,test
05_01_00282,test
05_01_00283,test
05_01_00284,train
05_01_00285,test
05_01_00286,test
05_01_00287,train
05_01_00288,test
05_01_00289,train
05_01_00290,train
05_01_00291,train
05_01_00292,train
05_01_00293,train
05_01_00294,train
05_01_00295,train
05_01_00296,train
05_01_00297,train
05_01_00298,train
05_01_00299,train
05_01_00300,train
05_01_00301,train
05_01_00302,test
05_01_00303,test
05_01_00304,train
05_01_00305,train
05_01_00306,train
05_01_00307,train
05_01_00308,train
05_01_00309,train
05_01_00310,train
05_01_00311,train
05_01_00312,train
05_01_00313,train
05_01_00314,test
05_01_00315,train
05_01_00316,train
05_01_00317,train
05_01_00318,train
05_01_00319,train
05_01_00320,train
05_01_00321,train
05_01_00322,train
05_01_00323,train
05_01_00324,test
05_01_00325,train
05_01_00326,train
05_01_00327,train
05_01_00328,train
05_01_00329,train
05_01_00330,train
05_01_00331,train
05_01_00332,train
05_01_00333,train
05_01_00334,train
05_01_00335,test
05_01_00336,train
05_01_00337,train
05_01_00338,train
05_01_00339,train
05_01_00340,train
05_01_00341,train
05_01_00342,train
05_01_00343,train
05_01_00344,train
05_01_00345,train
05_01_00346,train
05_01_00347,train
05_01_00348,train
05_01_00349,train
05_01_00350,train
05_01_00351,train
05_01_00352,train
05_01_00353,train
05_01_00354,train
05_01_00355,test
05_01_00356,train
05_01_00357,train
05_01_00358,train
05_01_00359,train
05_01_00360,train
05_01_00361,train
05_01_00362,train
05_01_00363,train
05_01_00364,train
05_01_00365,train
05_01_00366,train
05_01_00367,test
05_01_00368,train
05_01_00369,train
05_01_00370,train
05_01_00371,train
05_01_00372,train
05_01_00373,test
05_01_00374,test
05_01_00375,train
05_01_00376,test
05_01_00377,train
05_01_00378,train
05_01_00379,test
05_01_00380,train
05_01_00381,test
05_01_00382,test
05_01_00383,train
05_01_00384,train
05_01_00385,train
05_01_00386,train
05_01_00387,train
05_01_00388,train
05_01_00389,train
05_01_00390,train
05_01_00391,train
05_01_00392,train
05_01_00393,test
05_01_00394,train
05_01_00395,train
05_01_00396,test
05_01_00397,train
05_01_00398,test
05_01_00399,train
05_01_00400,train
05_01_00401,train
05_01_00402,train
05_01_00403,train
05_01_00404,train
05_01_00405,train
05_01_00406,train
05_01_00407,train
05_01_00408,test
05_01_00409,train
05_01_00410,train
05_01_00411,train
05_01_00412,train
05_01_00413,test
05_01_00414,test
05_01_00415,test
05_01_00416,train
05_01_00417,train
05_01_00418,train
05_01_00419,train
05_01_00420,test
05_01_00421,train
05_01_00422,test
05_01_00423,train
05_01_00424,train
05_01_00425,train
05_01_00426,test
05_01_00427,train
05_01_00428,train
05_01_00429,train
05_01_00430,test
05_01_00431,train
05_01_00432,train
05_01_00433,train
05_01_00434,train
05_01_00435,train
05_01_00436,train
05_01_00437,train
05_01_00438,train
05_01_00439,train
05_01_00440,test
05_01_00441,train
05_01_00442,train
05_01_00443,test
05_01_00444,train
05_01_00446,train
05_01_00447,train
05_01_00448,train
05_01_00449,train
05_01_00450,train
05_01_00451,test
05_01_00452,test
05_01_00453,test
05_01_00454,test
05_01_00455,test
05_01_00456,train
05_01_00457,train
05_01_00458,train
05_01_00459,test
05_01_00460,train
05_01_00461,test
05_01_00462,test
05_01_00463,train
05_01_00464,train
05_01_00465,train
05_01_00466,train
05_01_00467,train
05_01_00468,train
05_01_00469,train
05_01_00470,train
05_01_00471,train
05_01_00472,train
05_01_00473,test
05_01_00474,test
05_01_00475,test
05_01_00476,train
05_01_00478,test
05_01_00479,train
05_01_00480,test
05_01_00481,test
05_01_00482,train
05_01_00483,train
05_01_00484,train
05_01_00485,test
05_01_00486,test
05_01_00487,test
05_01_00488,train
05_01_00489,test
05_01_00490,test
05_01_00491,train
05_01_00492,train
05_01_00493,train
05_01_00494,train
05_01_00495,train
05_01_00496,train
05_01_00497,test
05_01_00498,test
05_01_00499,train
05_01_00500,train
05_01_00501,test
05_01_00502,train
05_01_00503,train
05_01_00504,train
05_01_00505,train
05_01_00506,train
05_01_00507,train
05_01_00508,test
05_01_00509,train
05_01_00510,train
05_01_00511,train
05_01_00512,train
05_01_00513,test
05_01_00514,test
05_01_00515,train
05_01_00516,train
05_01_00517,train
05_01_00518,test
05_01_00519,train
05_01_00520,train
05_01_00521,train
05_01_00522,train
05_01_00523,train
05_01_00524,train
05_01_00525,train
05_01_00526,test
05_01_00527,train
05_01_00528,train
05_01_00529,train
05_01_00530,train
05_01_00531,train
05_01_00532,train
05_01_00533,train
05_01_00534,train
05_01_00535,train
05_01_00536,train
05_01_00537,train
05_01_00538,train
05_01_00539,test
05_01_00540,train
05_01_00541,train
05_01_00542,train
05_01_00543,train
05_01_00544,train
05_01_00545,train
05_01_00546,train
05_01_00547,train
05_01_00548,test
05_01_00549,train
05_01_00550,train
05_01_00551,train
05_01_00552,train
05_01_00553,train
05_01_00554,train
05_01_00555,test
05_01_00556,train
05_01_00557,train
05_01_00558,train
05_01_00559,train
05_01_00560,train
05_01_00561,train
05_01_00562,train
05_01_00563,train
05_01_00564,train
05_01_00565,train
05_01_00566,train
05_01_00567,test
05_01_00568,train
05_01_00569,train
05_01_00570,test
05_01_00571,train
05_01_00572,train
05_01_00573,train
05_01_00574,train
05_01_00575,train
05_01_00576,test
05_01_00577,train
05_01_00578,train
05_01_00579,train
05_01_00580,train
05_01_00581,train
05_01_00582,train
05_01_00583,train
05_01_00584,test
05_01_00585,train
05_01_00586,train
05_01_00587,test
05_01_00588,train
05_01_00589,train
05_01_00590,test
05_01_00591,train
05_01_00592,train
05_01_00593,train
05_01_00594,train
05_01_00595,train
05_01_00596,train
05_01_00597,train
05_01_00598,train
05_01_00599,train
05_01_00600,train
05_01_00601,test
05_01_00602,train
05_01_00603,train
05_01_00604,train
05_01_00605,train
05_01_00606,train
05_01_00607,train
05_01_00608,train
05_01_00609,train
05_01_00610,train
05_01_00611,train
05_01_00612,train
05_01_00613,train
05_01_00614,train
05_01_00615,train
05_01_00616,train
05_01_00617,train
05_01_00618,train
05_01_00619,train
05_01_00620,train
05_01_00621,test
05_01_00622,train
05_01_00623,train
05_01_00624,train
05_01_00625,test
05_01_00626,train
05_01_00627,train
05_01_00628,train
05_01_00629,train
05_01_00630,test
05_01_00631,train
05_01_00632,train
05_01_00633,train
05_01_00634,train
05_01_00635,train
05_01_00636,train
05_01_00637,train
05_01_00638,train
05_01_00639,train
05_01_00640,train
05_01_00641,train
05_01_00642,train
05_01_00643,train
05_01_00644,train
05_01_00645,test
05_01_00646,train
05_01_00647,train
05_01_00648,train
05_01_00649,train
05_01_00650,test
05_01_00651,test
05_01_00652,test
05_01_00653,train
05_01_00654,train
05_01_00655,test
05_01_00656,train
05_01_00657,train
05_01_00658,train
05_01_00659,train
05_01_00660,train
05_01_00661,train
05_01_00662,train
05_01_00663,train
05_01_00664,train
05_01_00665,train
05_01_00666,train
05_01_00667,train
05_01_00668,train
05_01_00669,train
05_01_00670,train
05_01_00671,train
05_01_00672,train
05_01_00673,train
05_01_00674,train
05_01_00675,train
05_01_00676,train
05_01_00677,train
05_01_00678,train
05_01_00679,train
05_01_00680,train
05_01_00681,train
05_01_00682,train
05_01_00683,train
05_01_00684,test
05_01_00685,train
05_01_00686,train
05_01_00687,train
05_01_00688,train
05_01_00689,train
05_01_00690,train
05_01_00691,train
05_01_00692,train
05_01_00693,train
05_01_00694,train
05_01_00695,test
05_01_00696,train
05_01_00697,train
05_01_00698,train
05_01_00699,train
05_01_00700,train
05_01_00701,train
05_01_00702,train
05_01_00703,test
05_01_00704,test
05_01_00705,train
05_01_00706,train
05_01_00707,train
05_01_00708,test
05_01_00709,train
05_01_00710,train
05_01_00711,train
05_01_00712,train
05_01_00713,train
05_01_00714,train
05_01_00715,test
05_01_00716,test
05_01_00717,train
05_01_00718,train
05_01_00719,test
05_01_00720,train
05_01_00721,train
05_01_00722,train
05_01_00723,train
05_01_00724,train
05_01_00725,train
05_01_00726,train
05_01_00727,train
05_01_00728,train
05_01_00729,train
05_01_00730,train
05_01_00731,train
05_01_00732,train
05_01_00733,train
05_01_00734,train
05_01_00735,train
05_01_00736,train
05_01_00737,test
05_01_00738,train
05_01_00739,train
05_01_00740,train
05_01_00741,train
05_01_00742,train
05_01_00743,train
05_01_00744,train
05_01_00745,train
05_01_00746,train
05_01_00747,train
05_01_00748,train
05_01_00749,train
05_01_00750,train
05_01_00751,train
05_01_00752,train
05_01_00753,train
05_01_00754,train
05_01_00755,train
05_01_00756,train
05_01_00757,train
05_01_00758,train
05_01_00759,train
05_01_00760,train
05_01_00761,train
05_01_00762,train
05_01_00763,train
05_01_00764,train
05_01_00765,train
05_01_00766,train
05_01_00767,train
05_01_00768,train
05_01_00769,train
05_01_00770,test
05_01_00771,train
05_01_00772,train
05_01_00774,train
05_01_00775,test
05_01_00776,train
05_01_00779,train
05_01_00780,train
05_01_00781,train
05_01_00782,train
05_01_00783,test
05_01_00784,train
05_01_00785,train
05_01_00786,test
05_01_00787,train
05_01_00788,train
05_01_00789,train
05_01_00790,train
05_01_00791,train
05_01_00792,train
05_01_00793,train
05_01_00794,test
05_01_00795,train
05_01_00796,train
05_01_00797,train
05_01_00798,test
05_01_00799,test
05_01_00800,train
05_01_00801,train
05_01_00802,train
05_01_00803,train
05_01_00804,train
05_01_00805,test
05_01_00806,train
05_01_00807,train
05_01_00808,train
05_01_00809,train
05_01_00810,test
05_01_00811,train
05_01_00812,train
05_01_00813,train
05_01_00814,train
05_01_00815,train
05_01_00816,test
05_01_00817,train
05_01_00818,train
05_01_00819,train
05_01_00820,train
05_01_00821,train
05_01_00822,train
05_01_00823,test
05_01_00824,train
05_01_00825,train
05_01_00826,train
05_01_00827,test
05_01_00828,train
05_01_00829,train
05_01_00830,train
05_01_00831,train
05_01_00834,train
05_01_00835,train
05_01_00836,train
05_01_00837,train
05_01_00838,train
05_01_00839,train
05_01_00840,train
05_01_00841,train
05_01_00842,train
05_01_00843,train
05_01_00844,train
05_01_00845,train
05_01_00846,train
05_01_00847,train
05_01_00848,train
05_01_00849,train
05_01_00850,train
05_01_00851,train
05_01_00852,test
05_01_00853,train
05_01_00854,train
05_01_00855,train
05_01_00856,train
05_01_00857,train
05_01_00858,train
05_01_00859,train
05_01_00860,train
05_01_00861,train
05_01_00862,train
05_01_00863,train
05_01_00865,train
05_01_00866,test
05_01_00867,train
05_01_00868,train
05_01_00870,train
05_01_00871,train
05_01_00872,train
05_01_00873,train
05_01_00874,train
05_01_00875,train
05_01_00876,train
05_01_00877,train
05_01_00878,train
05_01_00879,train
05_01_00880,test
05_01_00881,train
05_01_00882,test
05_01_00884,test
05_01_00885,train
05_01_00886,test
05_01_00887,train
05_01_00888,train
05_01_00889,train
05_01_00890,train
05_01_00891,train
05_01_00892,train
05_01_00893,train
05_01_00894,train
05_01_00895,train
05_01_00896,train
05_01_00897,train
05_01_00898,train
05_01_00899,train
05_01_00900,train
05_01_00901,train
05_01_00902,train
05_01_00903,train
05_01_00904,train
05_01_00905,test
05_01_00906,test
05_01_00907,train
05_01_00908,test
05_01_00909,test
05_01_00910,train
05_01_00911,train
05_01_00912,train
05_01_00913,train
05_01_00914,test
05_01_00915,test
05_01_00916,train
05_01_00917,train
05_01_00918,train
05_01_00919,train
05_01_00920,test
05_01_00921,train
05_01_00922,train
05_01_00923,train
05_01_00924,train
05_01_00925,train
05_01_00926,train
05_01_00927,train
05_01_00928,train
05_01_00929,train
05_01_00930,train
05_01_00931,train
05_01_00932,train
05_01_00933,train
05_01_00934,train
05_01_00935,train
05_01_00936,train
05_01_00937,train
05_01_00938,test
05_01_00939,train
05_01_00940,train
05_01_00941,train
05_01_00942,train
05_01_00943,train
05_01_00944,train
05_01_00945,train
05_01_00946,train
05_01_00947,train
05_01_00948,train
05_01_00949,test
05_01_00950,train
05_01_00951,test
05_01_00952,train
05_01_00953,train
05_01_00954,train
05_01_00955,train
05_01_00956,train
05_01_00957,train
05_01_00958,train
05_01_00959,train
05_01_00960,train
05_01_00961,train
05_01_00962,train
05_01_00963,train
05_01_00964,train
05_01_00965,train
05_01_00966,train
05_01_00967,test
05_01_00968,test
05_01_00969,train
05_01_00970,train
05_01_00971,train
05_01_00972,train
05_01_00973,train
05_01_00974,train
05_01_00975,train
05_01_00976,test
05_01_00977,train
05_01_00978,train
05_01_00979,train
05_01_00980,train
05_01_00981,test
05_01_00982,train
05_01_00983,train
05_01_00984,train
05_01_00985,train
05_01_00986,test
05_01_00987,train
05_01_00988,test
05_01_00989,train
05_01_00990,train
05_01_00991,train
05_01_00992,test
05_01_00993,train
05_01_00994,train
05_01_00995,train
05_01_00996,train
05_01_00997,train
05_01_00998,train
05_01_00999,train
05_01_01000,train
05_01_01001,train
05_01_01002,train
05_01_01003,train
05_01_01004,train
05_01_01005,train
05_01_01006,train
05_01_01007,train
05_01_01008,train
05_01_01009,train
05_01_01010,train
05_01_01011,train
05_01_01012,train
05_01_01013,train
05_01_01014,test
05_01_01015,train
05_01_01016,train
05_01_01017,train
05_01_01018,train
05_01_01019,train
05_01_01020,train
05_01_01021,train
05_01_01022,train
05_01_01023,train
05_01_01024,train
05_01_01025,train
05_01_01026,train
05_01_01027,train
05_01_01028,train
05_01_01029,train
05_01_01030,train
05_01_01031,train
05_01_01032,train
05_01_01033,train
05_01_01034,train
05_01_01035,train
05_01_01036,test
05_01_01037,train
05_01_01038,train
05_01_01039,train
05_01_01040,train
05_01_01041,train
05_01_01042,test
05_01_01043,train
05_01_01044,train
05_01_01045,train
05_01_01046,train
05_01_01047,train
05_01_01048,train
05_01_01049,train
05_01_01050,train
05_01_01051,train
05_01_01052,train
05_01_01053,train
05_01_01054,train
05_01_01055,train
05_01_01056,train
05_01_01057,test
05_01_01058,train
05_01_01059,train
05_01_01060,train
05_01_01061,train
05_01_01062,train
05_01_01063,train
05_01_01064,train
05_01_01065,train
05_01_01066,train
05_01_01067,train
05_01_01068,train
05_01_01069,train
05_01_01070,train
05_01_01071,train
05_01_01072,train
05_01_01073,train
05_01_01074,train
05_01_01075,train
05_01_01076,train
05_01_01077,train
05_01_01078,train
05_01_01079,train
05_01_01080,train
05_01_01081,train
05_01_01082,train
05_01_01083,train
05_01_01084,train
05_01_01085,train
05_01_01086,train
05_01_01087,train
05_01_01088,train
05_01_01089,train
05_01_01090,train
05_01_01091,train
05_01_01092,test
05_01_01093,train
05_01_01094,train
05_01_01095,train
05_01_01096,train
05_01_01097,train
05_01_01098,train
05_01_01099,train
05_01_01100,train
05_01_01101,train
05_01_01102,test
05_01_01103,train
05_01_01104,train
05_01_01105,train
05_01_01106,train
05_01_01107,train
05_01_01108,train
05_01_01109,train
05_01_01110,train
05_01_01111,train
05_01_01112,train
05_01_01113,train
05_01_01114,train
05_01_01115,train
05_01_01116,test
05_01_01117,train
05_01_01118,test
05_01_01119,train
05_01_01120,train
05_01_01121,train
05_01_01122,train
05_01_01123,train
05_01_01124,train
05_01_01125,train
05_01_01126,train
05_01_01127,train
05_01_01128,train
05_01_01129,train
05_01_01130,train
05_01_01131,train
05_01_01132,train
05_01_01133,train
05_01_01134,train
05_01_01135,train
05_01_01136,train
05_01_01137,train
05_01_01138,train
05_01_01139,train
05_01_01140,train
05_01_01141,train
05_01_01142,train
05_01_01143,train
05_01_01144,train
05_01_01145,train
05_01_01146,train
05_01_01147,train
05_01_01148,train
05_01_01149,train
05_01_01150,train
05_01_01151,train
05_01_01153,train
05_01_01154,train
05_01_01155,train
05_01_01156,train
05_01_01157,test
05_01_01158,test
05_01_01159,train
05_01_01160,train
05_01_01161,train
05_01_01162,train
05_01_01163,train
05_01_01164,train
05_01_01165,train
05_01_01166,train
05_01_01167,train
05_01_01168,train
05_01_01169,train
05_01_01170,train
05_01_01171,train
05_01_01172,train
05_01_01173,train
05_01_01174,train
05_01_01175,train
05_01_01176,train
05_01_01177,train
05_01_01178,train
05_01_01179,train
05_01_01180,train
05_01_01181,train
05_01_01182,train
05_01_01183,train
05_01_01184,train
05_01_01185,train
05_01_01186,train
05_01_01187,train
05_01_01188,train
05_01_01189,train
05_01_01190,train
05_01_01191,train
05_01_01192,train
05_01_01193,train
05_01_01194,train
05_01_01195,train
05_01_01196,train
05_01_01197,test
05_01_01198,train
05_01_01199,train
05_01_01200,train
05_01_01201,train
05_01_01202,train
05_01_01203,train
05_01_01204,train
05_01_01205,train
05_01_01206,train
05_01_01207,train
05_01_01208,train
05_01_01209,train
05_01_01210,train
05_01_01211,train
05_01_01212,train
05_01_01213,train
05_01_01214,train
05_01_01215,train
05_01_01216,train
05_01_01217,train
05_01_01218,train
05_01_01219,train
05_01_01221,train
05_01_01222,test
05_01_01223,train
05_01_01224,train
05_01_01225,train
05_01_01226,train
05_01_01227,train
05_01_01228,train
05_01_01229,train
05_01_01230,train
05_01_01231,test
05_01_01232,train
05_01_01233,train
05_01_01234,train
05_01_01235,train
05_01_01236,train
05_01_01237,train
05_01_01238,train
05_01_01239,train
05_01_01240,train
05_01_01241,train
05_01_01242,train
05_01_01243,train
05_01_01244,train
05_01_01245,train
05_01_01246,train
05_01_01247,train
05_01_01248,train
05_01_01249,train
05_01_01250,train
05_01_01251,train
05_01_01252,train
05_01_01253,train
05_01_01254,train
05_01_01255,train
05_01_01256,train
05_01_01257,train
05_01_01258,train
05_01_01259,train
05_01_01260,train
05_01_01261,train
05_01_01262,train
05_01_01263,train
05_01_01264,train
05_01_01265,train
05_01_01266,train
05_01_01267,train
05_01_01268,train
05_01_01269,train
05_01_01270,train
05_01_01271,train
05_01_01272,train
05_01_01273,train
05_01_01274,train
05_01_01275,train
05_01_01276,train
05_01_01277,train
05_01_01278,train
05_01_01279,train
05_01_01280,test
05_01_01281,train
05_01_01282,train
05_01_01283,train
05_01_01284,train
05_01_01285,train
05_01_01286,train
05_01_01287,train
05_01_01288,train
05_01_01289,train
05_01_01290,train
05_01_01291,train
05_01_01292,train
05_01_01293,train
05_01_01294,train
05_01_01295,train
05_01_01296,train
05_01_01297,train
05_01_01298,train
05_01_01299,test
05_01_01300,train
05_01_01301,test
05_01_01302,train
05_01_01303,train
05_01_01304,train
05_01_01305,train
05_01_01306,train
05_01_01307,train
05_01_01308,test
05_01_01309,train
05_01_01310,train
05_01_01311,train
05_01_01312,test
05_01_01313,train
05_01_01314,train
05_01_01315,train
05_01_01316,train
05_01_01317,train
05_01_01318,train
05_01_01319,train
05_01_01320,train
05_01_01321,train
05_01_01322,train
05_01_01323,train
05_01_01324,train
05_01_01325,train
05_01_01326,train
05_01_01327,train
05_01_01328,train
05_01_01329,train
05_01_01330,train
05_01_01331,train
05_01_01332,train
05_01_01333,train
05_01_01334,train
05_01_01335,train
05_01_01336,train
05_01_01337,train
05_01_01338,train
05_01_01339,train
05_01_01340,train
05_01_01341,train
05_01_01342,test
05_01_01343,train
05_01_01344,test
05_01_01345,train
05_01_01347,train
05_01_01348,train
05_01_01349,train
05_01_01350,train
05_01_01352,train
05_01_01353,test
05_01_01354,train
05_01_01355,train
05_01_01356,train
05_01_01357,train
05_01_01358,train
05_01_01359,train
05_01_01360,train
05_01_01361,train
05_01_01362,train
05_01_01363,train
05_01_01364,train
05_01_01365,train
05_01_01366,train
05_01_01367,train
05_01_01369,train
05_01_01371,train
05_01_01372,train
05_01_01373,train
05_01_01374,train
05_01_01375,train
05_01_01376,train
05_01_01377,train
05_01_01378,train
05_01_01380,test
05_01_01381,train
05_01_01382,train
05_01_01383,train
05_01_01384,train
05_01_01385,train
05_01_01386,train
05_01_01387,test
05_01_01388,train
05_01_01389,train
05_01_01390,train
05_01_01391,train
05_01_01392,train
05_01_01393,train
05_01_01394,test
05_01_01395,train
05_01_01396,train
05_01_01397,train
05_01_01398,train
05_01_01399,train
05_01_01400,train
05_01_01401,train
05_01_01402,train
05_01_01403,test
05_01_01404,test
05_01_01405,train
05_01_01406,train
05_01_01407,test
05_01_01408,train
05_01_01409,train
05_01_01410,train
05_01_01411,train
05_01_01412,train
05_01_01413,train
05_01_01414,train
05_01_01415,train
05_01_01416,train
05_01_01417,train
05_01_01418,train
05_01_01419,train
05_01_01420,train
05_01_01421,train
05_01_01422,train
05_01_01425,train
05_01_01426,train
05_01_01427,train
05_01_01429,test
05_01_01430,train
05_01_01431,train
05_01_01432,train
05_01_01433,train
05_01_01434,test
05_01_01435,train
05_01_01436,train
05_01_01438,train
05_01_01439,train
05_01_01440,train
05_01_01441,train
05_01_01442,test
05_01_01444,train
05_01_01445,train
05_01_01446,train
05_01_01447,train
05_01_01448,train
05_01_01449,train
05_01_01450,train
05_01_01451,train
05_01_01452,train
05_01_01453,train
05_01_01454,train
05_01_01455,train
05_01_01456,train
05_01_01457,train
05_01_01458,test
05_01_01459,train
05_01_01460,train
05_01_01461,train
05_01_01462,train
05_01_01463,test
05_01_01464,train
05_01_01465,test
05_01_01466,test
05_01_01467,train
05_01_01468,train
05_01_01469,train
05_01_01470,train
05_01_01471,train
05_01_01472,train
05_01_01473,train
05_01_01474,train
05_01_01475,train
05_01_01476,train
05_01_01477,train
05_01_01478,train
05_01_01479,train
05_01_01480,train
05_01_01481,train
05_01_01482,train
05_01_01483,train
05_01_01484,train
05_01_01485,train
05_01_01486,train
05_01_01487,train
05_01_01488,train
05_01_01489,train
05_01_01490,train
05_01_01491,train
05_01_01492,train
05_01_01493,train
05_01_01494,train
05_01_01495,train
05_01_01496,train
05_01_01497,train
05_01_01498,train
05_01_01499,train
05_01_01500,train
05_01_01501,train
05_01_01502,train
05_01_01503,train
05_01_01504,train
05_01_01505,train
05_01_01506,train
05_01_01507,train
05_01_01508,train
05_01_01509,train
05_01_01510,train
05_01_01511,train
05_01_01512,train
05_01_01513,train
05_01_01514,train
05_01_01515,train
05_01_01516,train
05_01_01517,train
05_01_01518,train
05_01_01519,train
05_01_01520,train
05_01_01521,train
05_01_01522,train
05_01_01523,train
05_01_01524,train
05_01_01525,train
05_01_01526,train
05_01_01527,train
05_01_01528,train
05_01_01529,train
05_01_01530,train
05_01_01531,train
05_01_01532,train
05_01_01533,train
05_01_01534,train
05_01_01535,train
05_01_01536,train
05_01_01537,train
05_01_01538,train
05_01_01539,test
05_01_01540,train
05_01_01541,train
05_01_01542,train
05_01_01543,train
05_01_01544,train
05_01_01545,train
05_01_01546,train
05_01_01547,train
05_01_01548,train
05_01_01549,train
05_01_01550,train
05_01_01551,train
05_01_01552,train
05_01_01553,train
05_01_01554,train
05_01_01555,train
05_01_01556,train
05_01_01557,train
05_01_01558,train
